iter	Passed	Remaining
0	161	161587
1	167	83347
2	171	57063
3	175	43667
4	181	36062
5	183	30413
6	186	26506
7	189	23551
8	195	21541
9	199	19723
10	207	18626
11	210	17356
12	213	16207
13	217	15343
14	221	14522
15	223	13747
16	227	13130
17	232	12699
18	236	12188
19	238	11692
20	245	11426
21	248	11033
22	251	10663
23	255	10375
24	258	10077
25	261	9800
26	264	9535
27	268	9325
28	271	9093
29	274	8867
30	278	8692
31	281	8521
32	285	8363
33	287	8177
34	291	8028
35	296	7951
36	300	7812
37	303	7677
38	307	7580
39	314	7537
40	318	7444
41	322	7348
42	325	7242
43	328	7129
44	332	7057
45	336	6975
46	339	6878
47	343	6807
48	347	6752
49	351	6673
50	354	6595
51	358	6536
52	362	6475
53	365	6396
54	369	6342
55	374	6313
56	376	6236
57	379	6167
58	386	6156
59	388	6091
60	391	6026
61	395	5981
62	399	5936
63	402	5887
64	405	5828
65	409	5789
66	411	5737
67	414	5684
68	418	5644
69	422	5608
70	426	5578
71	428	5526
72	433	5500
73	436	5456
74	438	5411
75	442	5376
76	446	5351
77	450	5323
78	452	5279
79	456	5248
80	461	5237
81	464	5199
82	467	5162
83	471	5140
84	474	5106
85	476	5069
86	479	5034
87	485	5029
88	488	5004
89	491	4970
90	495	4954
91	499	4927
92	501	4893
93	504	4862
94	508	4842
95	511	4812
96	513	4783
97	517	4760
98	522	4752
99	525	4726
100	528	4702
101	531	4676
102	535	4661
103	538	4635
104	540	4609
105	544	4588
106	547	4571
107	550	4546
108	595	4865
109	599	4853
110	608	4875
111	619	4911
112	649	5097
113	653	5080
114	657	5058
115	660	5034
116	664	5017
117	668	4993
118	671	4968
119	674	4946
120	677	4918
121	680	4895
122	683	4870
123	687	4854
124	690	4832
125	693	4808
126	697	4796
127	700	4771
128	703	4751
129	706	4730
130	712	4724
131	714	4700
132	718	4680
133	721	4661
134	725	4649
135	728	4629
136	732	4612
137	736	4597
138	738	4573
139	741	4557
140	744	4537
141	752	4545
142	755	4528
143	758	4509
144	764	4508
145	767	4490
146	770	4473
147	774	4460
148	777	4442
149	781	4427
150	784	4409
151	791	4413
152	793	4395
153	797	4379
154	800	4365
155	803	4348
156	806	4329
157	809	4312
158	817	4323
159	821	4310
160	825	4301
161	828	4287
162	831	4271
163	835	4258
164	843	4267
165	847	4257
166	850	4244
167	859	4254
168	862	4242
169	867	4235
170	870	4222
171	874	4210
172	877	4195
173	884	4198
174	888	4186
175	895	4193
176	899	4183
177	902	4168
178	907	4162
179	911	4154
180	915	4141
181	919	4130
182	923	4123
183	928	4117
184	934	4116
185	938	4105
186	946	4116
187	950	4103
188	957	4106
189	961	4098
190	965	4087
191	976	4110
192	989	4136
193	992	4123
194	996	4115
195	1003	4117
196	1008	4112
197	1012	4101
198	1016	4089
199	1019	4077
200	1024	4071
201	1027	4059
202	1033	4056
203	1038	4050
204	1040	4036
205	1047	4038
206	1051	4026
207	1054	4013
208	1058	4007
209	1061	3992
210	1064	3981
211	1067	3968
212	1074	3970
213	1077	3958
214	1083	3956
215	1086	3943
216	1089	3932
217	1092	3920
218	1100	3925
219	1104	3914
220	1107	3904
221	1110	3893
222	1113	3879
223	1116	3867
224	1119	3856
225	1124	3849
226	1127	3838
227	1130	3826
228	1133	3815
229	1139	3814
230	1142	3802
231	1145	3791
232	1149	3784
233	1154	3779
234	1157	3768
235	1160	3757
236	1164	3750
237	1167	3737
238	1170	3726
239	1173	3715
240	1179	3713
241	1182	3702
242	1185	3692
243	1189	3685
244	1192	3674
245	1195	3664
246	1198	3653
247	1205	3654
248	1208	3643
249	1211	3633
250	1215	3628
251	1218	3617
252	1222	3608
253	1225	3598
254	1231	3598
255	1234	3586
256	1237	3577
257	1240	3567
258	1246	3565
259	1249	3556
260	1252	3546
261	1256	3538
262	1258	3527
263	1262	3519
264	1265	3510
265	1268	3501
266	1272	3492
267	1274	3482
268	1280	3478
269	1282	3468
270	1285	3459
271	1288	3449
272	1293	3443
273	1296	3434
274	1299	3425
275	1302	3415
276	1308	3414
277	1311	3405
278	1314	3396
279	1319	3393
280	1326	3393
281	1330	3386
282	1332	3377
283	1336	3369
284	1339	3360
285	1345	3358
286	1348	3349
287	1351	3341
288	1359	3344
289	1363	3338
290	1368	3335
291	1372	3326
292	1375	3319
293	1378	3310
294	1384	3309
295	1387	3300
296	1390	3292
297	1394	3285
298	1397	3276
299	1400	3268
300	1403	3259
301	1410	3259
302	1413	3251
303	1416	3243
304	1422	3241
305	1425	3233
306	1428	3224
307	1433	3219
308	1436	3213
309	1440	3205
310	1443	3198
311	1449	3196
312	1452	3187
313	1455	3179
314	1460	3174
315	1470	3183
316	1479	3187
317	1483	3181
318	1487	3174
319	1491	3170
320	1496	3165
321	1499	3156
322	1506	3156
323	1509	3150
324	1513	3142
325	1520	3142
326	1523	3136
327	1526	3126
328	1531	3122
329	1534	3115
330	1536	3106
331	1539	3096
332	1543	3091
333	1546	3083
334	1548	3074
335	1552	3067
336	1556	3061
337	1559	3054
338	1562	3046
339	1565	3039
340	1571	3037
341	1574	3028
342	1576	3020
343	1581	3014
344	1584	3007
345	1586	2998
346	1589	2991
347	1593	2985
348	1597	2978
349	1599	2970
350	1602	2962
351	1607	2960
352	1611	2953
353	1614	2946
354	1620	2944
355	1624	2937
356	1626	2930
357	1630	2923
358	1635	2919
359	1637	2911
